created_at,request_id,account_holder_id,name,product_id,account_no,tenant_id,currency,book_date,value_date,loan_amount,opening_date,ledger_id,installment_frequency,updated_at,maturity_date,id,coa_id,_load_ts_ms,status,sub_status,vbo_id,loan_closure_date,cdc_source_ts_ms,attributes,cdc_op
2023-01-03 06:38:59.593000+00:00,Interest-App-Test-1896800401559662800-043,6da6b157-a771-4ec3-816f-d662423049c6,ACS-1002_Testing,5218441023365703789,1231106381404379,140793,INR,2022-03-26 00:00:00,2022-03-26 00:00:00,50000000,2022-03-26 00:00:00,5387246186376159996,MONTHLY,2023-01-03 06:50:46.621000+00:00,2023-02-27 00:00:00,cacb8a83-4d89-4bf0-a3d2-77e02c5dd620,1896800401559662800,1698088337000,ACTIVE,FULLY_DISBURSED,xyz,,1698088105724,"""{\""channel\"":\""ruby\"",\""interestRate\"":15.0,\""sourceAccountId\"":\""3698a5a5-eb93-4030-88c9-225f3bbe06c8\"",\""sourceTransactionId\"":\""20220526120836765_121_Aion_test_place_hold_May26_1_clearance_2\"",\""sourceTransactionDate\"":\""2022-09-30\"",\""interestAmountAsOnBookingDate\"":3550821.0}""",
2023-01-05 09:10:23.895000+00:00,test23312121040,9761ca2b-681e-47e8-83ca-43f7cfe51e5e,May20_aion_loan_ank,8831200898333670589,1231102847672501,140793,INR,2022-04-07 00:00:00,2022-04-07 00:00:00,3000000,2022-04-07 00:00:00,5350945135835115270,MONTHLY,2023-01-05 09:10:36.460000+00:00,2022-11-11 00:00:00,083802de-7d04-448f-9eb7-f6781fe534d1,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088105534,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":10.0,\""sourceLedgerId\"":\""877440133054490067\"",\""sourceAccountId\"":\""8a4a4228-078f-4727-90a8-bf4d36d7b2ab\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20220901130255031_987_1662037374\"",\""sourceTransactionDate\"":\""2022-09-01\"",\""interestAmountAsOnBookingDate\"":91921.0}""",
2023-01-05 14:07:41.963000+00:00,1672927643826,bad05caf-6c92-476f-b5db-106ad239aa94,Emerald_Automation,8831200898333670589,1231108161584891,140793,INR,2022-04-07 00:00:00,2022-04-07 00:00:00,96000,2022-04-07 00:00:00,7404046509320926868,MONTHLY,2023-01-05 14:13:11.432000+00:00,2022-07-05 00:00:00,e18f00a0-9443-47bc-b186-976647a90442,1911042500732320702,1698088337000,CLOSED,PRECLOSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088105534,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":15.75,\""statusReason\"":\""PRECLOSED_REFUND\"",\""sourceLedgerId\"":\""5657670529909265406\"",\""sourceAccountId\"":\""cd9e12c2-e476-4073-99bd-d02a78675b22\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230105140722795_5109_1672927642307\"",\""sourceTransactionDate\"":\""2023-01-05\"",\""interestAmountAsOnBookingDate\"":2446.0}""",
2023-01-05 14:08:50.717000+00:00,Test_account_2023_05_01,bad05caf-6c92-476f-b5db-106ad239aa94,Jan_loan_booking,8831200898333670589,1231105331843298,140793,INR,2022-04-07 00:00:00,2022-04-07 00:00:00,100001,2022-04-07 00:00:00,1353293239236175117,MONTHLY,2023-02-07 09:36:28.396000+00:00,2022-05-05 00:00:00,5dabe9f7-f3b4-4871-b74e-79c6330f1762,1911042500732320702,1698088337000,CLOSED,MATURITY_CLOSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088110512,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""7370694920611665487\"",\""sourceAccountId\"":\""e8b9e411-685e-4a0e-978c-04701849c3be\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230105140623207_5108_Aion_test_bundle_status_clearance_1\"",\""sourceTransactionDate\"":\""2023-01-05\"",\""interestAmountAsOnBookingDate\"":2178.0}""",
2023-01-05 15:00:20.750000+00:00,Test_account_2023_05_01_4,bad05caf-6c92-476f-b5db-106ad239aa94,Jan_loan_booking,8831200898333670589,1231105560103372,140793,INR,2022-04-07 00:00:00,2022-04-07 00:00:00,100001,2022-04-07 00:00:00,2115424614803763262,MONTHLY,2023-01-05 15:00:28.900000+00:00,2022-05-05 00:00:00,eb625249-a81a-467b-bf34-e21d65af9c5d,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088105535,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""7370694920611665487\"",\""sourceAccountId\"":\""e8b9e411-685e-4a0e-978c-04701849c3be\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230105145306861_2095_Aion_test_bundle_status_clearance_2\"",\""sourceTransactionDate\"":\""2023-01-05\"",\""interestAmountAsOnBookingDate\"":2178.0}""",
2023-01-09 12:19:14.407000+00:00,Test_account_20221012_0010033249_013,bad05caf-6c92-476f-b5db-106ad239aa94,Oct_loan_booking,8831200898333670589,1231106034335582,140793,INR,2022-04-12 00:00:00,2022-04-12 00:00:00,299000,2022-04-12 00:00:00,5693150449981900025,MONTHLY,2023-01-11 06:45:32.980000+00:00,2022-08-06 00:00:00,0e9606fc-7caa-46e7-b57e-1e928a31cd92,1911042500732320702,1698088337000,CLOSED,CANCELLED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106668,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""statusReason\"":\""loan creation by mistake\"",\""sourceLedgerId\"":\""2725374397660946978\"",\""sourceAccountId\"":\""cba2bd24-af5d-434a-ab54-3fe01bbcca73\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230109121558771_95_Test_account_20220404_000181\"",\""sourceTransactionDate\"":\""2023-01-09\"",\""interestAmountAsOnBookingDate\"":16247.0}""",
2023-01-10 11:31:16.339000+00:00,Test_account_20220412_007,bad05caf-6c92-476f-b5db-106ad239aa94,Oct_loan_booking,8831200898333670589,1231104320553653,140793,INR,2022-04-12 00:00:00,2022-04-12 00:00:00,295000,2022-04-12 00:00:00,4482352228850091501,MONTHLY,2023-01-10 11:31:23.572000+00:00,2022-07-14 00:00:00,e9ab492a-ccc6-4d80-9f71-3c32c0a6e227,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106943,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""1636806835767493752\"",\""sourceAccountId\"":\""6a631a3f-26af-4d51-a31e-3a66139e091e\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230109140120149_692_Test_account_20220404_000183\"",\""sourceTransactionDate\"":\""2023-01-09\"",\""interestAmountAsOnBookingDate\"":10983.0}""",
2023-01-10 13:32:36.420000+00:00,Test_account_20220412_0019,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231105033965498,140793,INR,2022-04-13 00:00:00,2022-04-13 00:00:00,295000,2022-04-13 00:00:00,6193716417015497297,MONTHLY,2023-01-10 13:32:50.847000+00:00,2022-07-14 00:00:00,a56956d9-f643-4630-81e9-529e66f0c804,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106942,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""6526724212927503277\"",\""sourceAccountId\"":\""7ba06bae-bbe8-41f0-804e-13f929568d7e\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230110120525193_3123_Test_account_20220404_000192\"",\""sourceTransactionDate\"":\""2023-01-10\"",\""interestAmountAsOnBookingDate\"":10753.0}""",
2023-01-11 07:34:04.367000+00:00,Test_account_20220415_02,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231109413965276,140793,INR,2022-04-15 00:00:00,2022-04-15 00:00:00,295000,2022-04-15 00:00:00,7569363082419008456,MONTHLY,2023-01-11 07:34:04.819000+00:00,2022-07-17 00:00:00,5aaacde8-6d6f-429b-972e-52be67344ca2,1911042500732320702,1698088337000,NEW,NOT_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106668,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""1420752374611353932\"",\""sourceAccountId\"":\""f8201837-4edc-42e9-9c30-4d51119cf505\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230111073344382_4806_Test_account_20220415_05\"",\""sourceTransactionDate\"":\""2023-01-11\"",\""interestAmountAsOnBookingDate\"":10983.0}""",
2023-01-11 08:18:39.020000+00:00,Test_account_20220415_02_07,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231102750887484,140793,INR,2022-04-15 00:00:00,2022-04-15 00:00:00,295000,2022-04-15 00:00:00,7901732706016717667,MONTHLY,2023-01-11 08:18:49.387000+00:00,2022-07-17 00:00:00,7131d34a-0dfd-4e62-a806-d566f3769224,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106668,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""1287619771693407537\"",\""sourceAccountId\"":\""621bfac5-17a3-4ef8-a605-3eccbfecc262\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230111081805535_4968_Test_account_20220415_05_07\"",\""sourceTransactionDate\"":\""2023-01-11\"",\""interestAmountAsOnBookingDate\"":10983.0}""",
2023-01-11 08:53:31.718000+00:00,Test_account_20220415_02_013,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231108996288494,140793,INR,2022-04-16 00:00:00,2022-04-16 00:00:00,295000,2022-04-16 00:00:00,5664456746481438398,MONTHLY,2023-01-11 08:53:37.655000+00:00,2022-07-17 00:00:00,4e88efb7-be01-442d-9b56-588c87101da4,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088106668,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""4339481291115223517\"",\""sourceAccountId\"":\""e940729e-59b5-49f0-889e-dbbdd7b7f5a7\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230111082249347_1447_Test_account_20220415_05_11\"",\""sourceTransactionDate\"":\""2023-01-11\"",\""interestAmountAsOnBookingDate\"":10753.0}""",
2023-01-16 06:42:36.507000+00:00,Test_account_20220420_00000027,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231100400669252,140793,INR,2022-04-20 00:00:00,2022-04-20 00:00:00,300000,2022-04-20 00:00:00,7535247180437454556,MONTHLY,2023-01-16 06:43:04.114000+00:00,2022-11-22 00:00:00,fd8915a0-373f-4966-be8e-29e2bffc5e6b,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088107198,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""7355997888632850613\"",\""sourceAccountId\"":\""ee8b563c-eaa8-4d29-baa7-8fc972bc2e41\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230116063956134_2988_Test_account_20220420_Shruti_00014\"",\""sourceTransactionDate\"":\""2023-01-16\"",\""interestAmountAsOnBookingDate\"":25813.0}""",
2023-01-16 07:27:46.099000+00:00,Test_account_20220420_00000034,0e0e0be0-14b6-4e1d-b421-8953e21a6fae,Oct_loan_booking,8831200898333670589,1231104988104740,140793,INR,2022-04-20 00:00:00,2022-04-20 00:00:00,300000,2022-04-20 00:00:00,5661264232778151360,MONTHLY,2023-01-16 07:27:56.916000+00:00,2022-11-22 00:00:00,76cab874-3ca6-46d9-815e-453de4d85090,1911042500732320702,1698088337000,ACTIVE,FULLY_DISBURSED,a78759ec-ffdf-4c50-926e-24f3db5a61a3,,1698088107198,"""{\""channel\"":\""ruby\"",\""timeZone\"":\""Asia/Kolkata\"",\""interestRate\"":28.0,\""sourceLedgerId\"":\""7355997888632850613\"",\""sourceAccountId\"":\""ee8b563c-eaa8-4d29-baa7-8fc972bc2e41\"",\""sourceProductId\"":\""7189319118255734032\"",\""sourceTransactionID\"":\""20230116072714842_14941_Test_account_20220420_Shruti_00032\"",\""sourceTransactionDate\"":\""2023-01-16\"",\""interestAmountAsOnBookingDate\"":25813.0}""",
