id,application_id,name,type,created_at,updated_at,ifi_id,_load_ts_ms,details,cdc_source_ts_ms,cdc_op
c182e7ae-0a0d-43a2-9a35-0f5f7c8546cc,24721182-da59-44dc-a08e-b5abd305adb3,Address,AddressDetails,2020-09-01 12:13:19.147415+00:00,2020-09-01 12:13:19.443021+00:00,162402,1681733470000,"{""City"":""LiveSanity-City-Updated"",""House"":""LiveSanity-House-Updated"",""State"":""LiveSanity-State-Updated"",""Street"":""LiveSanity-Street-Updated""}",,
a3e80d1b-c52c-42fc-a404-608f5306ca15,1a45b72d-e5c3-4aaa-93f9-01ac043fee31,occupation_income,occupation,2020-09-01 19:07:30.858722+00:00,2020-09-01 19:07:30.858722+00:00,162402,1681733470000,"{""occupation"":""sde"",""annual_income"":""1000"",""residence_type"":""home"",""source_of_funds"":""company""}",,
a038c4b3-3739-41be-becd-16a53d5c4555,df3b5f74-de96-48c1-b9e9-c0154515e7f2,ContactDetails,contact,2020-09-01 19:37:40.288151+00:00,2020-09-01 19:37:40.288151+00:00,162402,1681733470000,"{""Tel"":""0581001s103"",""Email"":""sarthakTest-103@zeta.tech"",""Mobile"":""8979000103""}",,
b6dc73ab-4511-40a7-8140-7552862c8393,b6ed06b7-6161-4915-aa5e-8c77e65aa395,PersonalDetails,Details,2020-09-02 09:15:44.790768+00:00,2020-09-02 09:15:44.790768+00:00,162402,1681733470000,"{""Age"":""LiveSanity-Age"",""Name"":""LiveSanity-Name"",""Nationality"":""LiveSanity-Nationality""}",,
11f29a1d-89f7-40fb-8ffb-e6ed2a23eda5,90335aa9-2f69-4796-858b-03eff5f5e385,PersonalDetails,Details,2020-09-02 17:25:11.463107+00:00,2020-09-02 17:25:11.463107+00:00,162402,1681733470000,"{""Age"":""LiveSanity-Age"",""Name"":""LiveSanity-Name"",""Nationality"":""LiveSanity-Nationality""}",,
caaac0bf-c8bd-4cc9-a587-01255afb16ee,90335aa9-2f69-4796-858b-03eff5f5e385,Address,AddressDetails,2020-09-02 17:25:16.827226+00:00,2020-09-02 17:25:17.092913+00:00,162402,1681733470000,"{""City"":""LiveSanity-City-Updated"",""House"":""LiveSanity-House-Updated"",""State"":""LiveSanity-State-Updated"",""Street"":""LiveSanity-Street-Updated""}",,
089afc7d-0ceb-4e37-884e-743ae9d3611e,18fcc66d-4002-4bdb-9099-5b025131e902,Address,Details,2020-09-15 06:21:00.561263+00:00,2020-09-15 06:21:00.561263+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationRosio"",""Nationality"":""INDIAN""}",,
7fc13108-e62c-4624-ad24-577e544fefcd,14f00951-b614-46de-979a-423ecc8fe972,PersonalDetails,Details,2020-09-15 06:21:01.484741+00:00,2020-09-15 06:21:01.484741+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationDia"",""Nationality"":""INDIAN""}",,
bc118eb4-4a7f-4d40-9151-3d7cfad96292,a5ed2bf6-8d4f-4cb4-a004-cdefca1e2e4c,PersonalDetails,Details,2020-09-15 06:21:02.617819+00:00,2020-09-15 06:21:02.617819+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationSal"",""Nationality"":""INDIAN""}",,
9d6de2e6-3eef-43c1-9ad7-40ab04bcd403,ef4400ec-964c-46b0-a036-3b4e8fd13ab2,PersonalDetails,Details,2020-09-15 06:21:45.846545+00:00,2020-09-15 06:21:45.846545+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationBrenda"",""Nationality"":""INDIAN""}",,
13e96c4a-374c-4d22-988e-5ac786ce7c85,d933a320-5328-4f12-aa17-6d2f3801f800,PersonalDetails,Details,2020-09-15 06:23:01.837799+00:00,2020-09-15 06:23:01.837799+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationJesse"",""Nationality"":""INDIAN""}",,
4262c1cc-17c6-4a96-851d-d25e2d730074,f598f867-3ab5-4de9-9a28-415447086c32,Address,Details,2020-09-15 06:23:44.402317+00:00,2020-09-15 06:23:44.402317+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationMalcom"",""Nationality"":""INDIAN""}",,
ab3bc6b9-c2c9-4436-999d-693eacf0b8c3,bc7d27bc-f6ec-440f-8f0b-a2db2ac2187c,Others,Details,2020-09-15 06:23:46.069012+00:00,2020-09-15 06:23:46.069012+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationVirgilio"",""Nationality"":""INDIAN""}",,
1a745f24-721c-4584-a12e-366b8930b76a,84c871a0-c895-4184-a7ce-b1aabd663021,Address,Details,2020-09-15 07:00:04.515774+00:00,2020-09-15 07:00:04.515774+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationSon"",""Nationality"":""INDIAN""}",,
eba4748e-7d7a-41ea-af73-4fbaee290040,18cf3e25-8727-4be9-b34a-4c07b53ff37f,PersonalDetails,Details,2020-09-15 07:00:05.784328+00:00,2020-09-15 07:00:05.784328+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationVerdell"",""Nationality"":""INDIAN""}",,
011ec74c-1edd-46a9-b32a-9c2eb9b90834,3552d608-a25c-4beb-b280-a38ff418dcf3,PersonalDetails,Details,2020-09-15 07:02:05.891118+00:00,2020-09-15 07:02:05.891118+00:00,162402,1681733470000,"{""Age"":""26"",""Name"":""AutomationBranda"",""Nationality"":""INDIAN""}",,
